"","review"
"106","도대체가 공감할수있는 스토리가 하나없다. 개연성도 부족하고 행동 하나하나를 무책임하게  흘리는데 결론은 감동적으로 흘리려고한다. 이렇게좋은 캐릭터 기술력 OST 를 가지고 이런  쓰레기 스토리와 연출이라니 ㅠㅠ 해외에서 왜 논란이 됐는지 알만하다. 안타깝네"
"107","재밌고 설레는 영화"
"108","쥐색히 싸다구를 때려버려."
"109","아버지와 아들... 영화를 관통하는 이 코드에 공명했다."
"110",".."
"111","일본어 쓰는 너구리,,5자매 라고 해야하나,ㅋㅋ냄새 날만 하다,일본을 까는 애니가 드디어 나오는구나,우리나라 김치 비하할때 그느낌인데 은근 대리만족,"
"112","아이들에게 보여주지마라 차별을 정당화하는 이런 애니를 보여주고싶나?부모로써? 확대해석? 아시아인들 영어못한다고 놀려먹고 ""냄새나고 역겹다""라고 어설픈 일본어하는거하며 의안넣고다니는 장애인 희화화에 갱단 아버지마저 훈훈하네? 시대를 역행하는 영화인걸 모르겠나? 미국내에서도 비난여론이 장난아닌데 ㅉㅉㅉ"
"113","애니가 이렇게 멋져도 되는거야 ?오랜만에 음악에 푹 빠져본다."
"114","음악은 매우 좋다.. 캐릭터와 스토리는 그냥 그렇고.. 너구리들한테 냄새난다고 하는 부분은 좀 기분 나빠진다..."
"115",""
"116","이 영화의 무엇보다 큰 장점은  내용보다 노래가 좋은게  아주 좋네요.                     뮤직       굿"
"117","재밌다노래도좋고영화끝나고집가자마자오에스들바로다운받았다"
"118","평생 소장하고 싶다"
"119",""
"120","너무너무 좋았어요!전 음악을 좋아하는데 ost가 좋아서계속 듣고 있네요"
"121","굿!!!"
"122",""
"123",""
"124",""
"125",""
"126",""
"127",""" 너는  그냥 즐기면 돼 ""  라고 속삭여 주는 듯한 영화~"
"128","저는 어른끼리 봐도 좋았습니다.공연으로 각 캐릭터들이 각자의 인생을  성취한 느낌도 좋았고, 좋은 공연 보는 것 같았습니다."
"129",""
"130","세차장씬 에서 빵! 터졌네요OST도 사서 잘듣고 있습니다~"
"131","재밌네요.."
"132","아이들과 어른이 함께 볼 수 있게 만들다 보니 오히려 애매해진 영화. 오디션 주제 영화는 실사로 만들어야 할 듯."
"133",""
"134","노래 음악 영화를 좋아하는 일인으로 귀가 너무 즐거웠어요스토리는 약간 지루한 감이 초중반 들기도 했는데노래 좋아하시는 분이라면 .. 마지막은 정말 좋았어요눈물도 감동도 있고"
"135","초3, 초2 아이들과 봤는데 어른이 더 즐거운 영화네요. 아는 노래가 나와서 그런거 같아요. 자기 꿈을 찾아가는 내용이라서 좋았고 친구들간의 우정도 돌아볼수 있어요.버스터 문의 세차장 젤 웃겼어요. 슬픈데 웃겨요. 전 개인적으로 라라랜드 노래보다 더 듣기 좋았어요."
"136","입소문이  대단해서 봤는데  그냥 나쁘지 않은 수준의 영화여서 깜놀했어요.  아이들이 부담없이 보긴 좋지만 줄거리가 뻔해요."
"137",""
"138","끝나기 15분전까지 지루하기 짝이없음 이게 왜 8점이상인지 전혀 이해가안가는 사람임"
"139",""
"140","어른들이 보기에도 손색없는, 애들도 어른들도 같이 신난 즐거운 감동애니~~~ 바닥치는 현실을 위로하는ㅠ 즐거운 사회~ 여기서 일본인들 헬습성 꼬집은거보면 상쾌한 통쾌함은 덤~ㅎㅎㅎ"
"141","전혀 새롭지않은 동물이야기, 슈스케이야기....좀 진부하다."
"142","그렇게 큰 기대를 안하고 보러갔는데 재있고 노래도 잘 만들었고 뜻밖에 감동까지 받고왔어요 애니메이션 참 잘 만들었네요"
"143",""
"144","하고싶어요제발보내드립니다!"
"145","6점주려고했는 10점준 알바들때문에 짜증난다  무난한 영화 오직  이영화만  10점 평가한분들  돈마니버시오아동용 라라랜드~"
"146",""
"147","아이들이 안떠들고 집중해서 본다.그럼 된 거...ㅋ"
"148","꼭  봐야 하는  신나는 영화~^^"
"149","모르고 더빙판으로 봤는데두 감동이 ㅠ,.ㅠ  꼭 보세요"
"150","애들하고  같이 봤는데 재미 있었어요."
"151","10점 주면 알바라 하실라나요. 아뭏튼 애도 좋아하고 저도 최근 최고라 생각하는 영화였습니다. 음악 좋아하신다면 ost 들어보세요. 애가 미나 열창에 감동했는지 눈물흘리는걸보고 깜짝 놀랐네요. ㅎ ㅎㅎ"
"152","아직도 못보셨나요? 이번주말은 가족과함께 꼭 보시기바랍니다^^"
"153",""
"154","6세미만은 안좋아한다고했는데 저희애는 좋아하던걸요?심지어 더빙안보고 오리지널로봤는데 또보고싶다고 계속얘기한답니다~재미있어요^^어린이도 어른도"
"155","딸 아이랑 함께  보다 감동 받아 눈물 흘리다 음악듣다  박수도 치다가..내가 힐링 받으며 본영화~~"
"156","6세미만 아이들은 안 좋아함!!!어른들한테 더 공감!!!"
"157","순간순간 울컥하게 만드는 만화영화.. 아이 보여주러 갔다가 내가 더 감동하고 말았다.."
"158",""
"159","너무 유쾌하고 흥을 유발하는 영화에요."
"160",""
"161",""
"162",""
"163",""
"164","애들 영화인듯해서 별 기대없이 봤는데..어른인 나에게도 뭔가 느끼게 해주는 유쾌하고 재미진 영화~애들영화라는 편견은 버리고 온가족이 함께 보시길..적극 추천..!!!!"
"165",""
"166","재밋어요. 캐릭터도 넘 귀엽고 멋지니. . 네살아이는 좀 몸을 비틀지만. .음악나오면 춤을 추려고 난리. . 흥나네요.중간에데리고나와서 아쉬움. ㅎ ㅎ"
"167","재밌어요"
"168","조카랑 같이 봤는데~좋아하네요 ㅋㅋ노래도 신나고 캐릭터들도 귀엽고 좋네염~^^"
"169","시시할거라 생각하고 기대안했는데 어른인 제가 눈시울이 붉어졌어요.노래를 좋아하고 꿈을 아직도 꾸고있고 심장이 뛰는 사람이라면 아마 공감하실겁니다.노래 안좋아하는 사람은 공감못해요.아이들에게도 좋은 가르침이 있어요.그리고 생각할 수 있는 나이대 아이들이 볼 만해요.유아들은 무슨 뜻인지 느끼지못할듯!"
"170",""
"171","재밌었고 노래도 다 좋았어요^^ 애들도 넘 좋아했어요"
"172",""
"173","노래도 좋고  스토리도 좋았어요 영화보는 내내 노래에  흠뻑 빠졌네요.."
"174","노래도  좋고  가사도  좋고재밌게 잘봤어요"
"175","희망을 주는 멋진 내용과 구성이 좋아요^^*"
"176","배우들 노래실력 보는 재미, 음악으로 인한 즐거움을 느낄수 있은 영화."
"177","아이들하고 봤어요 재미있는 요소가 있는데 아이들이 많이 힘들어 했어요"
"178","정말 콘서트 온 느낌 입니다 노래 춤 굿이예요 내용도 좋구여"
"179","지나친 자신감과 욕심이 초래한 아쉬움 뒤에, 즐거운 음악~~씽씽씽~ 결말은 감동적!!"
"180","기대없이 봤는데,  최고네요!"
"181","감동도 있고..노래도 듣고..재밌네요...ㅎㅎ"
"182","그냥 주토피아 따라쟁이.. 동물들이 왜 나온건지 동기도 불분명하고, 짜임새도 부족하고.. 흥행만을 노리고 만든 상업성이 엿보임. 아무 생각없이 봐야하는 그런 것."
"183","아이들과 함께 볼 영화를 찾다가 보게 되었는데...연말 콘서트장 다녀온거처럼 너무도 감동적이었어요^^6살딸아이랑 8살아들 모두 두시간 내내 눈이 반짝반짝~~너무 너무 재밌었다고들 말하네요~~가족영화로 정말 강추합니다~~"
"184",""
"185","처음부터 마지막 자막 올라가는 순간까지 멋진 음악과 진한 감동이 파도처럼 밀려오는  영화~ 많이 기대안하고 애랑 보러 갔다가  크게 한방 먹었어요~ 쵝~~ 오!!"
"186",""
"187",""
"188","아이들  어른  같이 볼수있는  영화"
"189",""
"190",""
"191",""
"192","즐겁고 유쾌하게 그린 감동 영화"
"193","기다렸던영화였는데역시였습니다너무재밌게봤어요"
"194","덕분에 즐겁게 유쾌하게 웃고, 피로가 싹 사라졌네요"
"195","노래가  흥겨워 어깨가  들썩들썩 합니다."
"196","6세  아들과 함께한 영화...6살  아이가 보기에는 좀 긴 듯한 시간이지만노래에 집중하고  코믹 부분에서 웃어주는 ..가족애를 재 생각하며 흥을 돋우며 노래를 감상하는..좋은 애니였다.단 좀 더 웃길 수 있는 부분이  있었음에도 웃기지 못한 것이 아쉬울 뿐...일 단 함 보세요..후회할 정도는 아닌 듯...^^"
"197","5살 아들은 초반에 지루해했으나,9살 딸은 두 번을 볼 정도로 재미있어 했어요.퇴근 후 관람한 저도 초반엔 좀 지루했어요.더빙판이라 그랬을까요?"
"198","good"
"199",""
"200","내용은 좋으나 웃음포인트도 없고 지루하더군요...애들도 별로 재미없어하고"
"201","살아있는 캐릭터살아있는 목소리"
"202","생각보다 웃긴 장면도 많고 노래 목소리가 정말 좋았어요."
"203","넘 귀여운  캐릭터다섯살 아이가 손뼉치며 흠뻑 빠져서 봤어요재밌었어요"
"204","철학이 담긴 애니메이션 굿굿!!"
"205",""
"206","정말 어깨가 절로 들썩여 질만큼 흥이 나더군요. 우울한 마음이 싹 가시네요.근래 나온 영화중에 최고인듯...혹시 코알라 세차 장면에서 뒤집어 지신 분 안 계신가요? 양 친구의 우정도 눈물겹더라구요. 배꼽잡았네요.^^"
"207","7살 딸아이와 간만에 영화봤는데 네티즌 댓글에서 생각보다 아니라는 글들이 있어서 볼까말까 고민했었거든요ㅎ 근데 기대없이 봐서 그런지 전 굉장히 재밌게 봤어요~초반에 지루하다던데 개연성 설정상 필요한 과정인것같구.요....ㅎ  뒷부분은 굉장히 재밌는 볼거리로 가득하더라구요~^^ 딸아이도 재밌다고 했어요~^^"
"208","다소 익숙한듯한 스토리와 예상 가는 결말이지만 그사이의 소소한 재미와 노래들이 너무 자극적 이였다. 예전에 듣던 노래들을  다시금 듣게한 영화 강력한 장면은 없지만 최근 영화중 가장 좋은 것 같다 추천!"
"209","크게 아! 할만한 임팩트가 없던건 사실인 것 같아요. 즐기기에는 충분하지만 소소한 일상을 보는 느낌이 좀더 컸던것 같아요. 강렬한 인상을 원하신다면 조금 실망하실 수도 있을 것 같네요."
"210","뻔한 내용과 결말이지만 어지러운 현실속에 모처럼 힐링하며 즐겁게 보구왔네요"
"211","기대했던 뮤지컬 형식이 아니어서 실망했지만, 다행히 즐길거리는 충분했다. 마지막에 다시 연 극장에서의 화려한 공연도 보여줬다면 더 좋았을 거란 아쉬움이 남는다."
"212","티비 오디션의 범람의 시대 한복판에 살아서 인가. 모든 영화 속 설정과 상황이 식상하다"
"213","나이 사십넘어서 애 데리고 본 애니메이션중에 최고였다.어른들이 더 재미있게 보더라.. ㅎㅎ"
