"","date","id","content"
"254",2012-02-13,"dizn****","효주언니 정말 기대가 큽니다!!!!"
"255",2012-01-27,"haes****","효느님, 이번에도 일지매, 동이때처럼 한복으로 모두를 휘어잡으세요(?)!!"
"256",2012-01-22,"todl****","효느님나오면..대박이넹~"
"257",2012-01-22,"fptm****","출연진 다들 짱 인듯..!!"
"258",2012-01-19,"ultr****","오오미 한효주 굿굿굿"
"259",2012-01-18,"pop5****","한효주다......"
"260",2012-01-11,"daia****","이병헌...그의 왕연기가 완전 기대됩니다!!!"
"261",2012-01-10,"katy****","한효주 때메 다 본다, 동이여신에서 중전여신으로??"
"262",2012-01-08,"wjst****","오직그대만처럼 이번영화도 기대하겠습니다 한효주씨 화이팅~"
"263",2012-01-08,"dame****","하하하핫 심은경이다 하하핫하하핫"
"264",2012-01-06,"oyos****","난 이병헌때문에 무조건 본다"
"265",2012-01-05,"shky****","한효주때문에 10점"
"266",2012-01-04,"kam0****","효주누나 기대할께요 ㅋㅋㅋㅋㅋㅋㅋㅋ"
"267",2012-01-04,"tlgk****","한효주짱 !!! 흥하세요 무조건 본방사수 할테니 ...."
"268",2012-01-03,"tjsd****","이겨 영화인데 왜드라마라 써있어"
"269",2012-01-01,"ekdl****","한효주님 2012년도에 후속작이 대박나길 기원합니다"
"270",2011-12-30,"com_****","한효주짱 !!대박나라!!!!!!!"
"271",2011-12-30,"chan****","효주누나 영화는 그냥 만점이다.짜응~~!!!"
"272",2011-12-30,"wonk****","아아 효느님.......!!"
"273",2011-12-29,"conc****","허균 나오는 영화네요. 거기다가 그대를 사랑합니다 감독님. 주연도... 기대해봅니다."
"274",2011-12-28,"sj58****","나도 10점!!!! 한효주언니가 나오면 10점이다!!!!!!"
"275",2011-12-23,"sooi****","와~~ 효주 언니 나오는거다 이건 10점 만점에 10점!!"
"276",2013-03-04,"go13****","사랑의 여운.."
"277",2013-02-11,"etae****","꺼져줄래란 말은 못난 자기자신한테 하는 소리일지도.. 공감가니까 너무 안타깝다."
"278",2011-12-23,"dkzg****","이건 ㄷ ㅐ 박이다 . 한효주 나와서 조금 의아했는데 류승룡 합세~. ㅋㅋ 초대박."
"279",2011-12-22,"tjdb****","효느님이 나오시면 10점이지 !!!!!!"
"280",2011-12-21,"jin0****","한효주나오면 무조건 10점이다 ㅋㅋㅋㅋ믿슴미다!!!! 이병헌이랑 나이차이가초큼^^ㅋ"
"281",2011-12-21,"tnr5****","효느는 10점만점에 10점 !!!"
"282",2011-12-20,"qhrt****","무조건 10점 효느는 10점만점에 10점~"
"283",2011-12-20,"kigi****","한효주와 이병헌의 첫 연기호흡, 기대됩니다. 홧팅^.^"
"284",2011-12-20,"jayn****","효느님이다 무조건 10점!!!"
"285",2011-12-07,"jsa4****","심은경 제발 캐스팅 돼라~"
"286",2011-11-14,"gktl****","재밌겠당 ㅋ"
"287",2011-11-14,"kiss****","대박나세요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"288",2011-11-14,"leej****","재밌겠네 봐야지"
"289",2011-05-29,"jtk1****","지금까지폭군으로만여겨졌던광해군을 영화로 대단함 그것도 감독이 강욱석"
"290",2011-03-21,"haru****","안성기 왕으로 나오겠다"
"291",2013-07-10,"카이난(yino****)","BEST개인적으로는 7번방보다 이영화가 더 나은듯"
"292",2013-06-04,"tang****","BEST재미있는 상황 연출과 소소한 유머 그리고 이병헌의 미친듯한 연기. 이병헌의 연기는 경악하고 소름끼칠 정도."
"293",2013-06-08,"도날드 맥도날드(call****)","BEST이병헌씨 연기력이 대단해요줄거리도 탄탄하고 ^^너무 감동 받았읍니다"
"294",2013-07-27,"수지(love****)","BEST정말재밌다..커다란 감동에다 잔잔한 웃음들까지..완벽하다."
"295",2013-07-27,"백색천사(dhn9****)","BEST소름쫙 3번을 봐도 영화가 전달해주고픈 메세지와 그 영화 자체에 소름이 끼친다 정말 남녀노소 봐야될 대표한국영화!!!"
"296",2013-06-25,"whsk****","천만이 부끄럽지않은 영화가 여기있네... 웃다가 울다가... 이런게 영화가 아닐지"
"297",2013-07-05,"Ru2s(wlgm****)","이병헌의 목소리는 정말 하늘이 내려준듯 하다.웃음과 감동을 모두 잡은 영화인듯"
"298",2013-07-22,"HAZARD17(kevi****)","진짜 최고다 천만 이유가 있구나 스토리도 좋고 역사적인 것도 들어가고 이병헌 류승룡 등 연기도 진짜 좋고"
"299",2013-07-19,"노래불럼(ohh3****)","진심 최고의 영화다. 정말 별 10점!!"
